[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     0.27%     308.7MiB / 1GiB     30.15%    16.1kB / 5.84kB   0B / 36.9kB       63
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   73.59%    309.6MiB / 1GiB     30.23%    11.9kB / 9.15kB   12.3kB / 32.8kB   55
8ee8b1918745   spark-worker-6   81.80%    312.2MiB / 1GiB     30.49%    11.9kB / 9.15kB   0B / 32.8kB       55
f279d8f9bfc6   spark-worker-4   71.19%    314MiB / 1GiB       30.66%    12kB / 9.11kB     65.5kB / 32.8kB   55
5412fb2fa9ee   spark-worker-1   87.32%    320.6MiB / 1GiB     31.31%    12.3kB / 9.61kB   12.3kB / 32.8kB   56
c59af1fb5af2   spark-worker-2   79.60%    313.6MiB / 1GiB     30.62%    12kB / 9.15kB     20.5kB / 32.8kB   54
75b0d3f29b1b   spark-worker-5   81.27%    318.4MiB / 1GiB     31.10%    12.2kB / 9.61kB   0B / 32.8kB       59
212495591b58   spark-master     0.05%     162.7MiB / 1GiB     15.89%    45kB / 46.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     17.66%    329.9MiB / 1GiB     32.22%    33.5kB / 39.3kB   0B / 36.9kB       64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   73.59%    309.6MiB / 1GiB     30.23%    11.9kB / 9.15kB   12.3kB / 32.8kB   55
8ee8b1918745   spark-worker-6   81.80%    312.2MiB / 1GiB     30.49%    11.9kB / 9.15kB   0B / 32.8kB       55
f279d8f9bfc6   spark-worker-4   71.19%    314MiB / 1GiB       30.66%    12kB / 9.11kB     65.5kB / 32.8kB   55
5412fb2fa9ee   spark-worker-1   87.32%    320.6MiB / 1GiB     31.31%    12.3kB / 9.61kB   12.3kB / 32.8kB   56
c59af1fb5af2   spark-worker-2   79.60%    313.6MiB / 1GiB     30.62%    12kB / 9.15kB     20.5kB / 32.8kB   54
75b0d3f29b1b   spark-worker-5   81.27%    318.4MiB / 1GiB     31.10%    12.2kB / 9.61kB   0B / 32.8kB       59
