[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
f34e9addb485   spark-worker-1   68.61%    176.6MiB / 1GiB     17.25%    197MB / 187MB     123MB / 289MB     48
a5264a101823   spark-master     0.90%     173.1MiB / 1GiB     16.90%    468kB / 118kB     1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     50.14%    343.7MiB / 1GiB     33.57%    1.66MB / 4.26MB   62MB / 1.69MB     64
00e68c3d4611   spark-worker-6   59.92%    151.6MiB / 1GiB     14.81%    174MB / 197MB     285MB / 592MB     47
73bf2fc7d910   spark-worker-4   82.91%    286.1MiB / 1GiB     27.94%    160MB / 177MB     13.9MB / 25.1MB   48
f841a1fea1b2   spark-worker-2   87.66%    280.6MiB / 1GiB     27.40%    153MB / 168MB     10.5MB / 12.8MB   47
4e5b5483ed2f   spark-worker-3   74.74%    317.9MiB / 1GiB     31.04%    170MB / 153MB     56.7MB / 27.6MB   48
4896f71aef73   spark-worker-5   69.95%    282.6MiB / 1GiB     27.60%    200MB / 171MB     19MB / 14.4MB     48
f34e9addb485   spark-worker-1   68.61%    176.6MiB / 1GiB     17.25%    197MB / 187MB     123MB / 289MB     48
a5264a101823   spark-master     0.90%     173.1MiB / 1GiB     16.90%    468kB / 118kB     1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     64.31%    374.5MiB / 1GiB     36.57%    1.66MB / 4.26MB   69.1MB / 1.69MB   64
00e68c3d4611   spark-worker-6   72.86%    172MiB / 1GiB       16.80%    174MB / 197MB     285MB / 592MB     47
73bf2fc7d910   spark-worker-4   77.35%    306.7MiB / 1GiB     29.95%    160MB / 177MB     13.9MB / 25.1MB   48
f841a1fea1b2   spark-worker-2   65.11%    298.2MiB / 1GiB     29.12%    153MB / 168MB     10.5MB / 12.8MB   47
4e5b5483ed2f   spark-worker-3   70.30%    336.8MiB / 1GiB     32.89%    170MB / 153MB     56.7MB / 27.6MB   48
4896f71aef73   spark-worker-5   76.76%    302.5MiB / 1GiB     29.55%    200MB / 171MB     19MB / 14.4MB     48
f34e9addb485   spark-worker-1   67.95%    196.8MiB / 1GiB     19.22%    197MB / 187MB     123MB / 289MB     48
a5264a101823   spark-master     0.73%     173.1MiB / 1GiB     16.91%    476kB / 119kB     1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     64.31%    374.5MiB / 1GiB     36.57%    1.66MB / 4.26MB   69.1MB / 1.69MB   64
00e68c3d4611   spark-worker-6   72.86%    172MiB / 1GiB       16.80%    174MB / 197MB     285MB / 592MB     47
73bf2fc7d910   spark-worker-4   77.35%    306.7MiB / 1GiB     29.95%    160MB / 177MB     13.9MB / 25.1MB   48
f841a1fea1b2   spark-worker-2   65.11%    298.2MiB / 1GiB     29.12%    153MB / 168MB     10.5MB / 12.8MB   47
4e5b5483ed2f   spark-worker-3   70.30%    336.8MiB / 1GiB     32.89%    170MB / 153MB     56.7MB / 27.6MB   48
4896f71aef73   spark-worker-5   76.76%    302.5MiB / 1GiB     29.55%    200MB / 171MB     19MB / 14.4MB     48
f34e9addb485   spark-worker-1   67.95%    196.8MiB / 1GiB     19.22%    197MB / 187MB     123MB / 289MB     48
a5264a101823   spark-master     0.73%     173.1MiB / 1GiB     16.91%    476kB / 119kB     1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     64.64%    402MiB / 1GiB       39.26%    1.66MB / 4.27MB   72.8MB / 1.69MB   66
00e68c3d4611   spark-worker-6   75.09%    192.3MiB / 1GiB     18.78%    174MB / 197MB     285MB / 592MB     48
73bf2fc7d910   spark-worker-4   65.10%    339.9MiB / 1GiB     33.20%    160MB / 177MB     13.9MB / 25.1MB   52
f841a1fea1b2   spark-worker-2   62.30%    329.5MiB / 1GiB     32.18%    153MB / 168MB     10.5MB / 12.8MB   51
4e5b5483ed2f   spark-worker-3   77.77%    357.9MiB / 1GiB     34.95%    170MB / 153MB     56.7MB / 27.6MB   52
